Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 32.41      0.35     0.35     2398     0.15     0.30  get_avg_gradient_mag(cv::Mat)
 27.78      0.65     0.30 491110400     0.00     0.00  __gnu_cxx::__promote_2<decltype (((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0))+((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0))), std::__is_integer<decltype (((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0))+((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0)))>::__value>::__type std::pow<int, int>(int, int)
 24.07      0.91     0.26                             _init
  8.33      1.00     0.09     5397     0.02     0.02  int* cv::Mat::ptr<int>(int)
  6.48      1.07     0.07        1    70.00    80.02  stack_images(std::vector<cv::Mat, std::allocator<cv::Mat> >, std::vector<unsigned long, std::allocator<unsigned long> >)
  0.93      1.08     0.01                             main
  0.00      1.08     0.00    98317     0.00     0.00  cv::_InputArray::init(int, void const*)
  0.00      1.08     0.00    69191     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator*() const
  0.00      1.08     0.00    64744     0.00     0.00  cv::_InputArray::~_InputArray()
  0.00      1.08     0.00    64744     0.00     0.00  cv::Size_<int>::Size_()
  0.00      1.08     0.00    33802     0.00     0.00  std::remove_reference<unsigned long&>::type&& std::move<unsigned long&>(unsigned long&)
  0.00      1.08     0.00    33570     0.00     0.00  cv::_InputArray::_InputArray(cv::Mat const&)
  0.00      1.08     0.00    31174     0.00     0.00  cv::_InputArray::_InputArray()
  0.00      1.08     0.00    31174     0.00     0.00  cv::_OutputArray::~_OutputArray()
  0.00      1.08     0.00    30486     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00      1.08     0.00    28775     0.00     0.00  cv::_OutputArray::_OutputArray(cv::Mat&)
  0.00      1.08     0.00    22528     0.00     0.00  get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}::operator()(unsigned long, unsigned long) const
  0.00      1.08     0.00    20180     0.00     0.00  cv::Mat* std::__addressof<cv::Mat>(cv::Mat&)
  0.00      1.08     0.00    20133     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>::operator()<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >)
  0.00      1.08     0.00    14382     0.00     0.00  cv::MatIterator_<double>::operator++()
  0.00      1.08     0.00    14382     0.00     0.00  cv::MatConstIterator::operator++()
  0.00      1.08     0.00    14382     0.00     0.00  cv::MatIterator_<double>::operator*() const
  0.00      1.08     0.00    14224     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator++()
  0.00      1.08     0.00    13700     0.00     0.00  cv::Mat const& std::forward<cv::Mat const&>(std::remove_reference<cv::Mat const&>::type&)
  0.00      1.08     0.00    12064     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator--()
  0.00      1.08     0.00    11290     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.08     0.00    11289     0.00     0.00  void std::_Destroy<cv::Mat>(cv::Mat*)
  0.00      1.08     0.00     9669     0.00     0.00  bool __gnu_cxx::operator< <unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      1.08     0.00     9669     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<unsigned long> >, std::is_move_constructible<unsigned long>, std::is_move_assignable<unsigned long> >::value, void>::type std::swap<unsigned long>(unsigned long&, unsigned long&)
  0.00      1.08     0.00     9669     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >)
  0.00      1.08     0.00     9596     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::base() const
  0.00      1.08     0.00     9591     0.00     0.00  cv::Size_<int>::Size_(int, int)
  0.00      1.08     0.00     9588     0.00     0.00  cv::MatCommaInitializer_<double>& cv::MatCommaInitializer_<double>::operator,<int>(int)
  0.00      1.08     0.00     8891     0.00     0.00  void std::_Construct<cv::Mat, cv::Mat const&>(cv::Mat*, cv::Mat const&)
  0.00      1.08     0.00     7195     0.00     0.00  cv::MatExpr::~MatExpr()
  0.00      1.08     0.00     7195     0.00     0.00  cv::MatExpr::operator cv::Mat() const
  0.00      1.08     0.00     4799     0.00     0.00  bool __gnu_cxx::operator!=<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      1.08     0.00     4798     0.00     0.00  bool __gnu_cxx::operator!=<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&, __gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&)
  0.00      1.08     0.00     4796     0.00     0.00  get_planet_mask(cv::Mat)
  0.00      1.08     0.00     4796     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::operator++()
  0.00      1.08     0.00     4796     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::operator*() const
  0.00      1.08     0.00     4794     0.00     0.00  cv::MatCommaInitializer_<double>& cv::MatCommaInitializer_<double>::operator,<double>(double)
  0.00      1.08     0.00     4794     0.00     0.00  cv::Mat_<double>::~Mat_()
  0.00      1.08     0.00     3597     0.00     0.00  cv::Mat::isContinuous() const
  0.00      1.08     0.00     2399     0.00     0.00  cv::_OutputArray::_OutputArray()
  0.00      1.08     0.00     2399     0.00     0.00  cv::_InputOutputArray::_InputOutputArray(cv::Mat&)
  0.00      1.08     0.00     2399     0.00     0.00  cv::_InputOutputArray::~_InputOutputArray()
  0.00      1.08     0.00     2398     0.00     0.00  preprocess(cv::Mat)
  0.00      1.08     0.00     2398     0.00     0.00  get_center_of_mass(cv::Mat)
  0.00      1.08     0.00     2398     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.00      1.08     0.00     2398     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::push_back(cv::Mat const&)
  0.00      1.08     0.00     2398     0.00     0.00  std::abs(double)
  0.00      1.08     0.00     2397     0.00     0.00  align_frame(cv::Mat, cv::Point_<int>, cv::Point_<int>)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatIterator_<double>::MatIterator_(cv::Mat_<double>*)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatIterator_<double>::MatIterator_(cv::MatIterator_<double> const&)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatConstIterator::MatConstIterator(cv::Mat const*)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatConstIterator::MatConstIterator(cv::MatConstIterator const&)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatConstIterator_<double>::MatConstIterator_(cv::Mat_<double> const*)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatConstIterator_<double>::MatConstIterator_(cv::MatConstIterator_<double> const&)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatCommaInitializer_<double>::MatCommaInitializer_(cv::MatCommaInitializer_<double> const&)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatCommaInitializer_<double>::MatCommaInitializer_(cv::Mat_<double>*)
  0.00      1.08     0.00     2397     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00      1.08     0.00     2397     0.00     0.00  cv::Mat_<double>::Mat_(cv::Mat const&)
  0.00      1.08     0.00     2397     0.00     0.00  cv::Mat_<double>::Mat_(int, int)
  0.00      1.08     0.00     2397     0.00     0.00  cv::Mat_<double>::operator=(cv::Mat const&)
  0.00      1.08     0.00     2397     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00      1.08     0.00     2397     0.00     0.00  cv::Scalar_<double>::Scalar_()
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatCommaInitializer_<double> cv::operator<< <double, int>(cv::Mat_<double> const&, int)
  0.00      1.08     0.00     2397     0.00     0.00  cv::MatCommaInitializer_<double>::operator cv::Mat_<double>() const
  0.00      1.08     0.00     2397     0.00     0.00  cv::Mat::ptr(int) const
  0.00      1.08     0.00     2397     0.00     0.00  cv::Mat::type() const
  0.00      1.08     0.00     2397     0.00     0.00  cv::Mat::elemSize() const
  0.00      1.08     0.00     2397     0.00     0.00  std::remove_reference<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}&>::type&& std::move<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}&>(get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}&)
  0.00      1.08     0.00     2395     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>::_Val_comp_iter(__gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>&&)
  0.00      1.08     0.00     2395     0.00     0.00  bool __gnu_cxx::__ops::_Val_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>::operator()<unsigned long, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > >(unsigned long&, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >)
  0.00      1.08     0.00     2395     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}> __gnu_cxx::__ops::__val_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>(__gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>)
  0.00      1.08     0.00     2395     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Val_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}> >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Val_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>)
  0.00      1.08     0.00     2395     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>&>(__gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>&)
  0.00      1.08     0.00     1034     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long* const&)
  0.00      1.08     0.00      773     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator+(long) const
  0.00      1.08     0.00      769     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::difference_type __gnu_cxx::operator-<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      1.08     0.00      602     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned long)
  0.00      1.08     0.00      600     0.00     0.00  cv::Mat::ptr(int)
  0.00      1.08     0.00      600     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.00      1.08     0.00      440     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      1.08     0.00      440     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00      1.08     0.00      255     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator-(long) const
  0.00      1.08     0.00      255     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}> >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>)
  0.00      1.08     0.00      255     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}> >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>)
  0.00      1.08     0.00      255     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}> >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<get_selected_indices(std::vector<cv::Mat, std::allocator<cv::Mat> >, double*, int)::{lambda(unsigned long, unsigned long)#1}>)
  0.00      1.08     0.00       55     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const
  0.00      1.08     0.00       52     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::base() const
  0.00      1.08     0.00       52     0.00     0.00  cv::Mat const* std::__make_move_if_noexcept_iterator<cv::Mat, cv::Mat const*>(cv::Mat*)
  0.00      1.08     0.00       44     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator()
  0.00      1.08     0.00       28     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator() const
  0.00      1.08     0.00       28     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.08     0.00       26     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::__normal_iterator(cv::Mat* const&)
  0.00      1.08     0.00       26     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::max_size() const
  0.00      1.08     0.00       26     0.00     0.00  cv::Mat* std::__uninitialized_copy<false>::__uninit_copy<cv::Mat const*, cv::Mat*>(cv::Mat const*, cv::Mat const*, cv::Mat*)
  0.00      1.08     0.00       26     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_S_max_size(std::allocator<cv::Mat> const&)
  0.00      1.08     0.00       26     0.00     0.00  cv::Mat* std::__do_uninit_copy<cv::Mat const*, cv::Mat*>(cv::Mat const*, cv::Mat const*, cv::Mat*)
  0.00      1.08     0.00       26     0.00     0.00  cv::Mat* std::uninitialized_copy<cv::Mat const*, cv::Mat*>(cv::Mat const*, cv::Mat const*, cv::Mat*)
  0.00      1.08     0.00       26     0.00     0.00  cv::Mat* std::__uninitialized_copy_a<cv::Mat const*, cv::Mat*, cv::Mat>(cv::Mat const*, cv::Mat const*, cv::Mat*, std::allocator<cv::Mat>&)
  0.00      1.08     0.00       26     0.00     0.00  cv::Mat* std::__uninitialized_move_if_noexcept_a<cv::Mat*, cv::Mat*, std::allocator<cv::Mat> >(cv::Mat*, cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&)
  0.00      1.08     0.00       16     0.00     0.00  void std::_Destroy_aux<false>::__destroy<cv::Mat*>(cv::Mat*, cv::Mat*)
  0.00      1.08     0.00       16     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_deallocate(cv::Mat*, unsigned long)
  0.00      1.08     0.00       16     0.00     0.00  void std::_Destroy<cv::Mat*>(cv::Mat*, cv::Mat*)
  0.00      1.08     0.00       15     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_allocate(unsigned long)
  0.00      1.08     0.00       15     0.00     0.00  std::__new_allocator<cv::Mat>::deallocate(cv::Mat*, unsigned long)
  0.00      1.08     0.00       15     0.00     0.00  std::__new_allocator<cv::Mat>::allocate(unsigned long, void const*)
  0.00      1.08     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::difference_type __gnu_cxx::operator-<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&, __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&)
  0.00      1.08     0.00       13     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_check_len(unsigned long, char const*) const
  0.00      1.08     0.00       13     0.00     0.00  void std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_realloc_insert<cv::Mat const&>(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >, cv::Mat const&)
  0.00      1.08     0.00       13     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::end()
  0.00      1.08     0.00       13     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::begin()
  0.00      1.08     0.00       13     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.08     0.00       10     0.00     0.00  unsigned long* std::__niter_base<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >)
  0.00      1.08     0.00        8     0.00     0.00  std::__new_allocator<unsigned long>::~__new_allocator()
  0.00      1.08     0.00        7     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00      1.08     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >)
  0.00      1.08     0.00        5     0.00     0.00  std::__new_allocator<cv::Mat>::~__new_allocator()
  0.00      1.08     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::__normal_iterator(cv::Mat const* const&)
  0.00      1.08     0.00        4     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::begin()
  0.00      1.08     0.00        3     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl::~_Vector_impl()
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::~_Vector_base()
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_allocate(unsigned long)
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::_Vector_impl(std::allocator<unsigned long> const&)
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::~_Vector_impl()
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_deallocate(unsigned long*, unsigned long)
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.08     0.00        3     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::~_Vector_base()
  0.00      1.08     0.00        3     0.00     0.00  std::__new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      1.08     0.00        3     0.00     0.00  std::__new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      1.08     0.00        3     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::~vector()
  0.00      1.08     0.00        3     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::~vector()
  0.00      1.08     0.00        3     0.00     0.00  void std::_Destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      1.08     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long const* const&)
  0.00      1.08     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00      1.08     0.00        2     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::end() const
  0.00      1.08     0.00        2     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::begin() const
  0.00      1.08     0.00        2     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::size() const
  0.00      1.08     0.00        2     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl::_Vector_impl(std::allocator<cv::Mat> const&)
